__init__ Optimal Geometry
[(4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40)]
[17, 16, 27, 12, 21, 17, 32, 15, 16, 39, 30, 19, 5, 4, 5, 10, 22, 5, 39, 21] 1.6269201456420467e-05
[12, 22, 24, 9, 37, 17, 14, 33, 5, 20, 4, 18, 31, 17, 32, 22, 26, 24, 34, 18] 3.379548532427647e-05
[15, 16, 22, 6, 7, 39, 17, 7, 29, 17, 6, 16, 17, 25, 37, 22, 37, 10, 19, 12] 2.4793063194738303e-05
[18, 38, 38, 10, 25, 33, 32, 16, 29, 34, 39, 29, 8, 37, 8, 39, 5, 28, 23, 36] 5.873879036130317e-05
[8, 39, 28, 10, 19, 32, 7, 4, 21, 10, 9, 13, 36, 32, 36, 7, 28, 28, 11, 21] 8.83063052721078e-06
[7, 24, 25, 35, 20, 27, 18, 7, 33, 32, 38, 33, 32, 24, 24, 25, 29, 32, 8, 34] 8.305919219952518e-05
[35, 9, 16, 33, 6, 13, 35, 14, 23, 29, 22, 27, 4, 36, 40, 16, 40, 11, 27, 32] 2.925074728374382e-05
[38, 14, 36, 11, 10, 21, 12, 30, 29, 17, 22, 8, 14, 34, 19, 31, 5, 14, 6, 10] 3.809951947546651e-05
[5, 40, 9, 14, 28, 18, 12, 24, 9, 7, 24, 36, 31, 34, 20, 25, 25, 32, 19, 33] 2.4380931917062847e-05
[5, 33, 25, 36, 9, 36, 30, 37, 10, 18, 29, 25, 14, 29, 34, 28, 40, 27, 33, 30] 5.896546724484148e-05
[8, 20, 18, 18, 33, 4, 37, 31, 14, 11, 21, 13, 21, 40, 32, 30, 30, 28, 14, 35] 2.1176395442819303e-05
[20, 31, 6, 14, 29, 6, 21, 40, 39, 33, 40, 31, 8, 39, 31, 14, 12, 4, 40, 30] 4.396834829788167e-05
[9, 5, 31, 21, 6, 27, 19, 19, 10, 25, 34, 31, 20, 11, 14, 9, 14, 11, 13, 25] 5.055760904623571e-05
[21, 7, 17, 14, 6, 13, 14, 8, 25, 7, 28, 17, 19, 35, 20, 38, 26, 14, 6, 14] 2.063644633623554e-05
[20, 39, 37, 8, 4, 16, 35, 38, 8, 40, 20, 23, 22, 11, 12, 38, 13, 20, 9, 30] 4.2482690185585974e-05
[31, 35, 29, 15, 5, 4, 37, 21, 20, 9, 15, 31, 39, 40, 39, 7, 12, 4, 20, 17] 5.262006746993061e-05
[40, 21, 25, 19, 6, 28, 20, 7, 9, 30, 30, 17, 12, 27, 36, 27, 13, 28, 18, 8] 5.3653064354504706e-05
[22, 30, 7, 4, 16, 29, 36, 24, 22, 36, 6, 19, 30, 28, 14, 21, 31, 17, 4, 20] 3.9470010251292484e-05
[26, 25, 7, 16, 37, 28, 31, 25, 39, 25, 33, 11, 21, 16, 24, 10, 39, 17, 5, 25] 5.1538275274182206e-05
[5, 13, 20, 16, 27, 40, 10, 33, 31, 19, 4, 24, 11, 10, 16, 23, 8, 17, 23, 35] 2.8360923582882146e-05
[7, 26, 10, 14, 33, 35, 25, 20, 5, 30, 35, 9, 16, 38, 27, 39, 16, 21, 30, 8] 5.865156822034653e-05
[27, 38, 4, 14, 13, 35, 19, 22, 30, 40, 39, 32, 4, 16, 26, 30, 34, 23, 35, 39] 2.022551234094972e-05
[35, 18, 23, 38, 15, 22, 25, 20, 38, 33, 18, 8, 34, 19, 14, 6, 6, 6, 17, 14] 5.2573725026786674e-05
[15, 33, 22, 39, 8, 4, 26, 22, 14, 38, 34, 21, 21, 5, 4, 28, 32, 9, 33, 12] 4.498170053460797e-05
[38, 9, 8, 18, 20, 4, 38, 23, 23, 35, 24, 39, 23, 39, 23, 26, 29, 39, 22, 23] 3.791525139854731e-05
